code,turnover_ratio,circulating_cap,circulating_market_cap,date,ret
300545.XSHE,1.9506,4633.2871,10.0311,2018-08-10,0.007390300230946889
603081.XSHG,1.7982,7772.625,10.0345,2018-08-10,-0.04879938032532912
603996.XSHG,9.2157,10327.5,10.0693,2018-08-10,-0.005128205128205201
603936.XSHG,3.0242,5610.0,10.0868,2018-08-10,-0.030589543937708605
603138.XSHG,3.7956,4735.6401,10.0916,2018-08-10,-0.06006569685593624
002878.XSHE,2.0133,4551.4648,10.1225,2018-08-10,-0.008543165467625955
603758.XSHG,0.3661,13349.8877,10.1726,2018-08-10,-0.002624671916010443
300599.XSHE,1.7766,9066.0,10.1811,2018-08-10,-0.00623330365093502
603303.XSHG,0.5166,10200.0,10.1898,2018-08-10,0.0030030030030029392
300211.XSHE,0.4913,18570.2852,10.2137,2018-08-10,0.0
603856.XSHG,6.3964,6412.8999,10.2157,2018-08-10,-0.07846829880728186
600421.XSHG,0.1759,19560.0,10.2299,2018-08-10,0.011472275334608123
300707.XSHE,10.2694,3930.0,10.2455,2018-08-10,-0.0103567318757192
002787.XSHE,1.8827,10232.3594,10.2528,2018-08-10,-0.008982035928143698
300695.XSHE,1.2628,1667.77,10.2785,2018-08-10,0.0037319487262697385
002827.XSHE,7.8571,6314.6499,10.3055,2018-08-10,-0.0324754901960785
002887.XSHE,2.3308,5133.9102,10.3192,2018-08-10,-0.02636815920397997
300597.XSHE,4.5054,7350.0,10.3268,2018-08-10,-0.012811387900355851
300283.XSHE,2.8636,21295.4707,10.3283,2018-08-10,0.010309278350515427
300660.XSHE,3.0189999999999997,4548.6001,10.3481,2018-08-10,0.006153846153846179
300503.XSHE,1.5509,10274.6494,10.3568,2018-08-10,0.0019841269841269424
600817.XSHG,0.3512,15567.9072,10.3994,2018-08-10,0.004491017964071761
601606.XSHG,0.1013,14800.0,10.4044,2018-08-10,-0.09957325746799434
603676.XSHG,9.1746,6666.0479,10.439,2018-08-10,-0.01787994891443163
002725.XSHE,10.9144,10975.8906,10.449000000000002,2018-08-10,-0.014705882352941237
002906.XSHE,3.4783,7310.0,10.4606,2018-08-10,-0.016072676450034847
002759.XSHE,1.7452,12578.7617,10.4655,2018-08-10,0.0024038461538461024
002837.XSHE,3.3528,6837.6709,10.4685,2018-08-10,-0.010450685826257355
300522.XSHE,4.137,5094.54,10.4897,2018-08-10,0.007285089849441408
600981.XSHG,0.5687,24185.4629,10.4965,2018-08-10,0.002304147465437739
603339.XSHG,1.2709,5781.5874,10.5051,2018-08-10,-0.0011007154650522603
002207.XSHE,0.5237,23728.2227,10.5353,2018-08-10,0.006756756756756812
603301.XSHG,17.3529,2500.0,10.555,2018-08-10,-0.010184746565608707
300092.XSHE,1.4141,16729.7227,10.5732,2018-08-10,0.009493670886076028
603656.XSHG,0.6169,6333.1128,10.5826,2018-08-10,0.000598444045481841
002907.XSHE,9.6523,4006.0,10.6039,2018-08-10,0.012089157536834164
002886.XSHE,7.9463,4960.9014,10.6312,2018-08-10,-0.0037330844610360173
300029.XSHE,0.6199,18995.6699,10.6376,2018-08-10,-0.005357142857142902
300062.XSHE,2.2935,18934.3555,10.66,2018-08-10,0.0017761989342806016
300126.XSHE,1.1919,21067.8535,10.6603,2018-08-10,-0.015810276679841914
000880.XSHE,1.1691,13513.5,10.6757,2018-08-10,0.011421319796954295
603335.XSHG,2.1390000000000002,15644.2002,10.685,2018-08-10,0.01171303074670572
603533.XSHG,4.149,4100.0,10.6928,2018-08-10,0.0
