日期,品种,标的,数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,当日盈亏,今手数,盈亏占比,仓位占比
2008/10/6,,Cash,,,100000,,,,,,,
2008/10/7,,Cash,,,100000,,,,,,,
2008/10/8,,Cash,,,100000,,,,,,,
2008/10/9,,Cash,,,100000,,,,,,,
2008/10/10,,Cash,,,100000,,,,,,,
2008/10/13,,Cash,,,100000,,,,,,,
2008/10/14,,Cash,,,100000,,,,,,,
2008/10/15,,Cash,,,100000,,,,,,,
2008/10/16,,Cash,,,100000,,,,,,,
2008/10/17,,Cash,,,100000,,,,,,,
2008/10/20,,Cash,,,100000,,,,,,,
2008/10/21,,Cash,,,100000,,,,,,,
2008/10/22,,Cash,,,100000,,,,,,,
2008/10/23,,Cash,,,100000,,,,,,,
2008/10/24,,Cash,,,100000,,,,,,,
2008/10/27,,Cash,,,100000,,,,,,,
2008/10/28,,Cash,,,100000,,,,,,,
2008/10/29,,Cash,,,100000,,,,,,,
2008/10/30,,Cash,,,100000,,,,,,,
2008/10/31,,Cash,,,100000,,,,,,,
2008/11/3,,Cash,,,100000,,,,,,,
2008/11/4,,Cash,,,100000,,,,,,,
2008/11/5,,Cash,,,100000,,,,,,,
2008/11/6,,Cash,,,100000,,,,,,,
2008/11/7,,Cash,,,100000,,,,,,,
2008/11/10,,Cash,,,100000,,,,,,,
2008/11/11,,Cash,,,100000,,,,,,,
2008/11/12,,Cash,,,100000,,,,,,,
2008/11/13,股票,山西汾酒(600809.XSHG),9100股,11.33,103103,4004,10.89,-,4004,9100股,4.04%,99.16%
2008/11/13,,Cash,,,871.27,,,,,,,
2008/11/14,股票,山西汾酒(600809.XSHG),9100股,12.19,110929,11830,10.89,-,7826,0股,11.94%,99.22%
2008/11/14,,Cash,,,871.27,,,,,,,
2008/11/17,股票,山西汾酒(600809.XSHG),9100股,12.69,115479,16380,10.89,-,4550,0股,16.53%,99.25%
2008/11/17,,Cash,,,871.27,,,,,,,
2008/11/18,股票,山西汾酒(600809.XSHG),9100股,11.53,104923,5824,10.89,-,-10556,0股,5.88%,99.18%
2008/11/18,,Cash,,,871.27,,,,,,,
2008/11/19,股票,山西汾酒(600809.XSHG),9100股,12.4,112840,13741,10.89,-,7917,0股,13.87%,99.23%
2008/11/19,,Cash,,,871.27,,,,,,,
2008/11/20,股票,山西汾酒(600809.XSHG),9100股,12.45,113295,14196,10.89,-,455,0股,14.33%,99.24%
2008/11/20,,Cash,,,871.27,,,,,,,
2008/11/21,股票,山西汾酒(600809.XSHG),9100股,12.14,110474,11375,10.89,-,-2821,0股,11.48%,99.22%
2008/11/21,,Cash,,,871.27,,,,,,,
2008/11/24,股票,山西汾酒(600809.XSHG),9100股,11.8,107380,8281,10.89,-,-3094,0股,8.36%,99.20%
2008/11/24,,Cash,,,871.27,,,,,,,
2008/11/25,股票,山西汾酒(600809.XSHG),9100股,11.19,101829,2730,10.89,-,-5551,0股,2.75%,99.15%
2008/11/25,,Cash,,,871.27,,,,,,,
2008/11/26,股票,山西汾酒(600809.XSHG),9100股,10.99,100009,910,10.89,-,-1820,0股,0.92%,99.14%
2008/11/26,,Cash,,,871.27,,,,,,,
2008/11/27,股票,山西汾酒(600809.XSHG),9100股,10.99,100009,910,10.89,-,0,0股,0.92%,99.14%
2008/11/27,,Cash,,,871.27,,,,,,,
2008/11/28,股票,山西汾酒(600809.XSHG),9100股,10.96,99736,637,10.89,-,-273,0股,0.64%,99.13%
2008/11/28,,Cash,,,871.27,,,,,,,
2008/12/1,股票,山西汾酒(600809.XSHG),9100股,11.19,101829,2730,10.89,-,2093,0股,2.75%,99.15%
2008/12/1,,Cash,,,871.27,,,,,,,
2008/12/2,股票,山西汾酒(600809.XSHG),9100股,11.43,104013,4914,10.89,-,2184,0股,4.96%,99.17%
2008/12/2,,Cash,,,871.27,,,,,,,
2008/12/3,股票,山西汾酒(600809.XSHG),9100股,12.04,109564,10465,10.89,-,5551,0股,10.56%,99.21%
2008/12/3,,Cash,,,871.27,,,,,,,
2008/12/4,股票,山西汾酒(600809.XSHG),9100股,11.9,108290,9191,10.89,-,-1274,0股,9.27%,99.20%
2008/12/4,,Cash,,,871.27,,,,,,,
2008/12/5,股票,山西汾酒(600809.XSHG),9100股,12.08,109928,10829,10.89,-,1638,0股,10.93%,99.21%
2008/12/5,,Cash,,,871.27,,,,,,,
2008/12/8,股票,山西汾酒(600809.XSHG),9100股,12.53,114023,14924,10.89,-,4095,0股,15.06%,99.24%
2008/12/8,,Cash,,,871.27,,,,,,,
2008/12/9,股票,山西汾酒(600809.XSHG),9100股,12.28,111748,12649,10.89,-,-2275,0股,12.76%,99.23%
2008/12/9,,Cash,,,871.27,,,,,,,
2008/12/10,股票,山西汾酒(600809.XSHG),9100股,12.49,113659,14560,10.89,-,1911,0股,14.69%,99.24%
2008/12/10,,Cash,,,871.27,,,,,,,
2008/12/11,股票,山西汾酒(600809.XSHG),9100股,12.53,114023,14924,10.89,-,364,0股,15.06%,99.24%
2008/12/11,,Cash,,,871.27,,,,,,,
2008/12/12,股票,山西汾酒(600809.XSHG),9100股,11.7,106470,7371,10.89,-,-7553,0股,7.44%,99.19%
2008/12/12,,Cash,,,871.27,,,,,,,
2008/12/15,股票,山西汾酒(600809.XSHG),9100股,11.77,107107,8008,10.89,-,637,0股,8.08%,99.19%
2008/12/15,,Cash,,,871.27,,,,,,,
2008/12/16,股票,山西汾酒(600809.XSHG),9100股,11.79,107289,8190,10.89,-,182,0股,8.26%,99.19%
2008/12/16,,Cash,,,871.27,,,,,,,
2008/12/17,股票,山西汾酒(600809.XSHG),9100股,11.91,108381,9282,10.89,-,1092,0股,9.37%,99.20%
2008/12/17,,Cash,,,871.27,,,,,,,
2008/12/18,股票,山西汾酒(600809.XSHG),9100股,12.48,113568,14469,10.89,-,5187,0股,14.60%,99.24%
2008/12/18,,Cash,,,871.27,,,,,,,
2008/12/19,股票,山西汾酒(600809.XSHG),9100股,12.96,117936,18837,10.89,-,4368,0股,19.01%,99.27%
2008/12/19,,Cash,,,871.27,,,,,,,
2008/12/22,股票,山西汾酒(600809.XSHG),9100股,12.94,117754,18655,10.89,-,-182,0股,18.82%,99.27%
2008/12/22,,Cash,,,871.27,,,,,,,
2008/12/23,股票,山西汾酒(600809.XSHG),9100股,11.89,108199,9100,10.89,-,-9555,0股,9.18%,99.20%
2008/12/23,,Cash,,,871.27,,,,,,,
