日期,委托时间,标的,交易类型,成交数量,成交价,成交额,委托数量,平仓盈亏,手续费,,
2009/6/1,9:30:00,赣粤高速(600269.XSHG),买,2300股,10.13,23299,2300股,0,6.99,,14452.66
2009/6/1,9:30:00,郑州煤电(600121.XSHG),买,1600股,8.47,13552,1600股,0,5,,-5746.72
2009/6/1,9:30:00,福建高速(600033.XSHG),买,3700股,6.29,23273,3700股,0,6.98,,
2009/6/1,9:30:00,天士力(600535.XSHG),买,1500股,14.7,22050,1500股,0,6.61,,
2009/6/2,9:30:00,皖通高速(600012.XSHG),买,3400股,5.21,17714,3400股,0,5.31,,
2009/6/9,9:30:00,赣粤高速(600269.XSHG),卖,-2300股,10.08,-23184,-2300股,414,30.14,,
2009/6/9,9:30:00,郑州煤电(600121.XSHG),买,100股,8.49,849,100股,0,5,,
2009/6/9,9:30:00,皖通高速(600012.XSHG),买,900股,5.15,4635,900股,0,5,,
2009/6/9,9:30:00,绿景地产(000502.XSHE),买,1600股,10.15,16240,1600股,0,5,,
2009/7/16,9:30:00,天士力(600535.XSHG),卖,-1500股,17.09,-25635,-1500股,3585,33.33,,
2009/7/16,9:30:00,福建高速(600033.XSHG),买,400股,7.11,2844,400股,0,5,,
2009/7/16,9:30:00,皖通高速(600012.XSHG),买,100股,5.97,597,100股,0,5,,
2009/7/16,9:30:00,晋西车轴(600495.XSHG),买,1000股,20.61,20610,1000股,0,6.18,,
2009/8/7,9:30:00,福建高速(600033.XSHG),卖,-4100股,6.86,-28126,-4100股,2009,36.56,,
2009/8/7,9:30:00,绿景地产(000502.XSHE),买,100股,11.26,1126,100股,0,5,,
2009/8/7,9:30:00,赣粤高速(600269.XSHG),买,2100股,13.62,28602,2100股,0,8.58,,
2009/8/18,9:30:00,绿景地产(000502.XSHE),卖,-1700股,8.99,-15283,-1700股,-2083,20.28,,
2009/8/18,9:30:00,赣粤高速(600269.XSHG),卖,-300股,12.77,-3831,-300股,-255,8.83,,
2009/8/18,9:30:00,郑州煤电(600121.XSHG),买,100股,8.51,851,100股,0,5,,
2009/8/18,9:30:00,皖通高速(600012.XSHG),买,400股,5.08,2032,400股,0,5,,
2009/8/18,9:30:00,晋西车轴(600495.XSHG),买,100股,19.51,1951,100股,0,5,,
2009/8/18,9:30:00,东湖高新(600133.XSHG),买,2400股,6.31,15144,2400股,0,5,,
2009/9/1,9:30:00,晋西车轴(600495.XSHG),卖,-1100股,18,-19800,-1100股,-2761,25.74,,
2009/9/1,9:30:00,皖通高速(600012.XSHG),买,100股,4.99,499,100股,0,5,,
2009/9/1,9:30:00,东湖高新(600133.XSHG),买,200股,6.31,1262,200股,0,5,,
2009/9/1,9:30:00,传化股份(002010.XSHE),买,1800股,10.03,18054,1800股,0,5.42,,
2009/10/23,9:30:00,皖通高速(600012.XSHG),卖,-4900股,5.3,-25970,-4900股,493,33.76,,
2009/10/23,9:30:00,郑州煤电(600121.XSHG),卖,-200股,11.84,-2368,-200股,691.11,7.37,,
2009/10/23,9:30:00,赣粤高速(600269.XSHG),买,200股,7.31,1462,200股,0,5,,
2009/10/23,9:30:00,东湖高新(600133.XSHG),买,500股,7.35,3675,500股,0,5,,
2009/10/23,9:30:00,传化股份(002010.XSHE),买,100股,12.9,1290,100股,0,5,,
2009/10/23,9:30:00,汇通能源(600605.XSHG),买,1900股,10.23,19437,1900股,0,5.83,,
2009/10/26,9:30:00,汇通能源(600605.XSHG),卖,-1900股,10.24,-19456,-1900股,19,25.29,,
2009/10/26,9:30:00,郑州煤电(600121.XSHG),卖,-100股,11.86,-1186,-100股,347.56,6.19,,
2009/10/26,9:30:00,东湖高新(600133.XSHG),卖,-100股,7.6,-760,-100股,112.23,5.76,,
2009/10/26,9:30:00,峨眉山A(000888.XSHE),买,2200股,10.72,23584,2200股,0,7.08,,
2009/10/27,9:30:00,峨眉山A(000888.XSHE),卖,-2200股,10.42,-22924,-2200股,-660,29.8,,
2009/10/27,9:30:00,赣粤高速(600269.XSHG),卖,-100股,7.33,-733,-100股,49.37,5.73,,
2009/10/27,9:30:00,东湖高新(600133.XSHG),卖,-100股,7.5,-750,-100股,102.23,5.75,,
2009/10/27,9:30:00,七匹狼(002029.XSHE),买,1300股,19.03,24739,1300股,0,7.42,,
2009/11/9,9:30:00,赣粤高速(600269.XSHG),卖,-3700股,7.45,-27565,-3700股,2270.63,35.83,,
2009/11/9,9:30:00,郑州煤电(600121.XSHG),买,100股,11.84,1184,100股,0,5,,
2009/11/9,9:30:00,七匹狼(002029.XSHE),买,100股,21.81,2181,100股,0,5,,
2009/11/9,9:30:00,峨眉山A(000888.XSHE),买,2200股,11.11,24442,2200股,0,7.33,,
2009/11/12,9:30:00,峨眉山A(000888.XSHE),卖,-2200股,10.88,-23936,-2200股,-506,31.12,,
2009/11/12,9:30:00,东湖高新(600133.XSHG),卖,-200股,8.17,-1634,-200股,338.45,6.63,,
2009/11/12,9:30:00,传化股份(002010.XSHE),卖,-100股,14,-1400,-100股,381.89,6.4,,
2009/11/12,9:30:00,七匹狼(002029.XSHE),卖,-100股,22.77,-2277,-100股,354.14,7.28,,
2009/11/12,9:30:00,久联发展(002037.XSHE),买,1600股,18.11,28976,1600股,0,8.69,,
2009/11/23,9:30:00,东湖高新(600133.XSHG),卖,-2700股,11.37,-30699,-2700股,13209.1,39.91,,
2009/11/23,9:30:00,郑州煤电(600121.XSHG),卖,-100股,13.83,-1383,-100股,522.96,6.38,,
2009/11/23,9:30:00,峨眉山A(000888.XSHE),买,2100股,12.3,25830,2100股,0,7.75,,
2009/12/9,9:30:00,久联发展(002037.XSHE),卖,-1600股,18.5,-29600,-1600股,624,38.48,,
2009/12/9,9:30:00,郑州煤电(600121.XSHG),买,100股,13.02,1302,100股,0,5,,
2009/12/9,9:30:00,传化股份(002010.XSHE),买,100股,14.65,1465,100股,0,5,,
2009/12/9,9:30:00,七匹狼(002029.XSHE),买,100股,22.18,2218,100股,0,5,,
2009/12/9,9:30:00,大龙地产(600159.XSHG),买,1100股,19.42,21362,1100股,0,6.41,,
2009/12/10,9:30:00,大龙地产(600159.XSHG),卖,-1100股,18.98,-20878,-1100股,-484,27.14,,
2009/12/10,9:30:00,太行水泥(600553.XSHG),买,2000股,10.63,21260,2000股,0,6.38,,
2009/12/23,9:30:00,太行水泥(600553.XSHG),卖,-2000股,9.52,-19040,-2000股,-2220,24.75,,
2009/12/23,9:30:00,赣粤高速(600269.XSHG),买,3400股,7.97,27098,3400股,0,8.13,,
2010/1/12,9:30:00,赣粤高速(600269.XSHG),卖,-3400股,8.26,-28084,-3400股,986,36.51,,
2010/1/12,9:30:00,郑州煤电(600121.XSHG),买,100股,13.04,1304,100股,0,5,,
2010/1/12,9:30:00,峨眉山A(000888.XSHE),买,100股,12.47,1247,100股,0,5,,
2010/1/12,9:30:00,宜华地产(000150.XSHE),买,3000股,7.65,22950,3000股,0,6.88,,
2010/5/14,9:30:00,宜华地产(000150.XSHE),卖,-3000股,6.59,-19770,-3000股,-3180,25.7,,
2010/5/14,9:30:00,七匹狼(002029.XSHE),卖,-300股,28.97,-8691,-300股,2859.18,13.69,,
2010/5/14,9:30:00,峨眉山A(000888.XSHE),卖,-600股,16.91,-10146,-600股,2761.36,15.15,,
2010/5/14,9:30:00,郑州煤电(600121.XSHG),买,1000股,9.81,9810,1000股,0,5,,
2010/5/14,9:30:00,传化股份(002010.XSHE),买,200股,13.51,2702,200股,0,5,,
2010/5/14,9:30:00,亚泰集团(600881.XSHG),买,4300股,6.92,29756,4300股,0,8.93,,
2010/5/20,9:30:00,七匹狼(002029.XSHE),卖,-1100股,29.16,-32076,-1100股,10692.67,41.7,,
2010/5/20,9:30:00,郑州煤电(600121.XSHG),买,300股,9.21,2763,300股,0,5,,
2010/5/20,9:30:00,传化股份(002010.XSHE),买,200股,12.86,2572,200股,0,5,,
2010/5/20,9:30:00,亚泰集团(600881.XSHG),买,200股,6.69,1338,200股,0,5,,
2010/5/20,9:30:00,华仪电气(600290.XSHG),买,1700股,13.19,22423,1700股,0,6.73,,
2010/6/3,9:30:00,峨眉山A(000888.XSHE),卖,-1600股,17.98,-28768,-1600股,9075.64,37.4,,
2010/6/3,9:30:00,亚泰集团(600881.XSHG),买,400股,6.96,2784,400股,0,5,,
2010/6/3,9:30:00,华仪电气(600290.XSHG),买,100股,12.97,1297,100股,0,5,,
2010/6/3,9:30:00,山推股份(000680.XSHE),买,2400股,11.51,27624,2400股,0,8.29,,
2010/6/30,9:30:00,华仪电气(600290.XSHG),卖,-1800股,10.98,-19764,-1800股,-3956,25.69,,
2010/6/30,9:30:00,郑州煤电(600121.XSHG),卖,-100股,8.79,-879,-100股,-56.99,5.88,,
2010/6/30,9:30:00,传化股份(002010.XSHE),卖,-100股,12.77,-1277,-100股,197.22,6.28,,
